keys,game_titles,count_main,time_main,count_complete,time_complete
228,Tower of Guns,35,2h 42m,21,14h 2m
229,Tropico 4,67,40h 58m,42,110h 19m
230,Umiro,3,5h 59m,8,5h 10m
231,Undertale,2.6K,7h 12m,891,21h 24m
232,Unplagued,2,41m,n/a,n/a
233,Victoria II,20,26h 45m,4,376h 51m
234,Void Bastards,119,8h 48m,13,32h
235,VVVVVV,749,2h 29m,119,5h 20m
236,Warhammer: Vermintide 2,181,11h 34m,42,128h 57m
237,Way of the Passive Fist,13,4h 4m,n/a,n/a
238,Wizard of Legend,61,9h 16m,70,27h 49m
239,Wolfenstein II: The New Colossus,1.6K,11h,118,35h 42m
240,World of Goo,292,6h 1m,51,14h 45m
241,Worms: Revolution,6,19h 28m,2,31h 53m
242,XCOM: Enemy Unknown,629,27h 22m,100,80h 38m
243,Yakuza 0,1.4K,32h 7m,399,147h 2m
244,Zombotron,12,6h 49m,12,8h 8m
