Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,Genres
Hotline Miami 2: Wrong Number,274170,Y,0.0,29.0,Very Positive,"10 Mar, 2015","68,357",Devolver Digital,"['Great Soundtrack', 'Gore', 'Pixel Graphics', 'Violent', 'Action', 'Fast-Paced', 'Difficult', 'Top-Down', 'Retro', 'Indie', '1980s', 'Singleplayer', 'Top-Down Shooter', 'Atmospheric', '2D', 'Shooter', 'Level Editor', 'Arcade', ""1990's"", 'Story Rich']"
House Flipper,613100,Y,0.0,96.0,Very Positive,"17 May, 2018","91,975",Frozen District,"['Cleaning', 'Simulation', 'Design & Illustration', 'Singleplayer', 'Building', 'Multiplayer', 'Relaxing', 'Sandbox', 'Casual', 'Decorating', 'Immersive Sim', 'Education', 'First-Person', 'Organizing', 'Management', 'Economy', '3D', 'Family Friendly', 'Base Building', 'Realistic']"
Initial Drift Online,1456200,Y,0.0,36.0,Mostly Positive,"30 Mar, 2023","3,208",RewindApp,"['Racing', 'Open World', 'Immersive Sim', 'Combat Racing', 'Driving', 'Life Sim', 'Physics', 'PvP', 'Automobile Sim', 'MMORPG', 'First-Person', 'Action', 'Third Person', 'Relaxing', 'Simulation', 'Anime', 'Multiplayer', 'Atmospheric', 'Massively Multiplayer', ""1990's""]"
Into the Breach,590380,Y,0.0,70.0,Very Positive,"27 Feb, 2018","18,736",Subset Games,"['Strategy', 'Turn-Based Strategy', 'Indie', 'Pixel Graphics', 'Turn-Based Tactics', 'Mechs', 'Roguelike', 'Turn-Based', 'Puzzle', 'Roguelite', 'Sci-fi', 'Singleplayer', 'Tactical', 'Turn-Based Combat', 'Isometric', 'RPG', 'Replay Value', 'Procedural Generation', 'Simulation', 'Great Soundtrack']"
"Invisible, Inc.",243970,Y,0.0,23.0,Very Positive,"12 May, 2015","5,062",Klei Entertainment,"['Cyberpunk', 'Turn-Based Tactics', 'Difficult', 'Isometric', 'Strategy', 'Stealth', 'Tactical RPG', 'Roguelite', 'Sci-fi', 'Tactical', 'Turn-Based', 'Perma Death', 'Roguelike', 'Procedural Generation', 'Female Protagonist', 'Choices Matter', 'Turn-Based Strategy', 'Turn-Based Combat', 'Simulation', 'Singleplayer']"
The Jackbox Party Pack 2,397460,Y,3.0,20.0,Overwhelmingly Positive,"13 Oct, 2015","(1,437 reviews)","Jackbox Games, Inc.","['Trivia', 'Local Multiplayer', 'Casual', 'Comedy', 'Indie', 'Strategy', 'Party', 'Multiplayer', 'Funny', 'Party Game', 'Local Co-Op', 'Board Game', 'Co-op', 'Family Friendly', '4 Player Local']"
Jet Set Radio,205950,Y,0.0,30.0,Very Positive,"19 Sep, 2012","8,291",SEGA,"['Great Soundtrack', 'Classic', 'Action', '3D Platformer', 'Singleplayer', 'Colorful', 'Platformer', 'Stylized', 'Arcade', 'Parkour', 'Third Person', 'Music', 'Controller', 'Skating', 'Retro', 'Atmospheric', 'Sports', 'Open World', 'Anime', 'Female Protagonist']"
Katana ZERO,460950,Y,12.0,22.0,Overwhelmingly Positive,"18 Apr, 2019","65,840",Devolver Digital,"['Pixel Graphics', 'Action', 'Great Soundtrack', 'Story Rich', 'Platformer', 'Cyberpunk', '2D Platformer', 'Indie', 'Hack and Slash', '2D', 'Fast-Paced', 'Violent', 'Difficult', 'Singleplayer', 'Time Manipulation', 'Gore', 'Ninja', 'Retro', 'Noir', 'Sci-fi']"
Killing Floor 2,232090,Y,0.0,307.0,Very Positive,"18 Nov, 2016","86,877",Tripwire Interactive,"['Gore', 'Zombies', 'Multiplayer', 'Online Co-Op', 'FPS', 'Post-apocalyptic', 'Hack and Slash', 'Shooter', 'Horror', 'Action', 'Moddable', 'Survival', 'First-Person', 'Co-op', 'Team-Based', 'Survival Horror', 'Atmospheric', 'PvE', 'Character Customization', 'Dark']"
Kim Jong-Boom,711070,Y,5.0,100.0,Mixed,"1 Oct, 2017",(25 reviews),azimuth team,"['Casual', 'Indie']"
