Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,Genres
NieR:Automata™,524220,Y,0.0,47.0,Very Positive,"17 Mar, 2017","113,940",Square Enix,"['Hack and Slash', 'RPG', 'Great Soundtrack', 'Story Rich', 'Female Protagonist', 'Action', 'Spectacle fighter', 'Open World', 'JRPG', 'Anime', 'Post-apocalyptic', 'Singleplayer', 'Robots', 'Atmospheric', 'Sci-fi', 'Nudity', 'Adventure', 'Bullet Hell', 'Character Action Game', 'Violent']"
No Lights,682910,Y,0.0,27.0,Mixed,"7 Aug, 2017",(49 reviews),EasyGames,"['Action', 'Pixel Graphics', 'Indie']"
NOT A HERO,274270,Y,0.0,17.0,Very Positive,"8 Jul, 2016","(1,630 reviews)",Devolver Digital,"['Pixel Graphics', 'Action', 'Indie', 'Comedy', 'Adventure', 'Shooter', 'Gore', '2D', 'Funny', 'Political', 'Great Soundtrack', 'Singleplayer', 'Violent', 'Platformer', 'Difficult', 'Fast-Paced', ""Shoot 'Em Up"", 'Retro', 'Multiplayer']"
Okhlos: Omega,400180,Y,0.0,38.0,Mostly Positive,"18 Aug, 2016",(631 reviews),Devolver Digital,"['Action Roguelike', 'Action', 'Indie', 'Comedy', 'Mythology', 'Singleplayer', 'Roguelike', '2.5D', 'Strategy', 'Arcade', 'Pixel Graphics', 'Roguelite', 'Procedural Generation', 'Historical', 'Violent', 'Difficult', 'Retro', 'Perma Death', 'Real Time Tactics', 'Funny']"
OlliOlli,274250,Y,0.0,12.0,Very Positive,"22 Jul, 2014",(420 reviews),Devolver Digital,"['Skateboarding', 'Indie', 'Sports', '2D', 'Pixel Graphics', 'Platformer', 'Singleplayer', 'Great Soundtrack', 'Arcade', 'Action', 'Skating', 'Difficult', 'Casual']"
OlliOlli2: Welcome to Olliwood,365660,Y,0.0,27.0,Very Positive,"11 Aug, 2015",(432 reviews),Devolver Digital,"['Skateboarding', 'Indie', 'Sports', 'Action', 'Great Soundtrack', '4 Player Local', 'Local Multiplayer', 'Local Co-Op', 'Difficult', 'Skating', 'Singleplayer', '2D', 'Platformer']"
OmniBus,415740,Y,0.0,37.0,Very Positive,"26 May, 2016",(485 reviews),Devolver Digital,"['Indie', 'Racing', 'Action', 'Adventure', 'Simulation', 'Casual', 'Physics', 'Funny', 'Automobile Sim', 'Difficult', 'Multiplayer', 'Driving', 'Local Multiplayer', 'Psychological Horror', 'Destruction']"
Opus Magnum,558990,Y,0.0,6.0,Overwhelmingly Positive,"7 Dec, 2017","5,803",Zachtronics,"['Puzzle', 'Programming', 'Automation', 'Indie', 'Simulation', 'Logic', 'Singleplayer', 'Steampunk', 'Great Soundtrack', 'Difficult', 'Building', '2D', 'Sandbox', 'Hex Grid', 'Casual']"
Oxygen Not Included,457140,Y,1.0,51.0,Overwhelmingly Positive,"30 Jul, 2019","134,010",Klei Entertainment,"['Colony Sim', 'Base Building', 'Survival', 'Resource Management', 'Building', 'Singleplayer', 'Management', '2D', 'Sandbox', 'Simulation', 'Strategy', 'Space', 'Indie', 'Sci-fi', 'Difficult', 'Exploration', 'Open World', 'Multiplayer', 'Adventure', 'Space Sim']"
PAC-MAN™ CHAMPIONSHIP EDITION 2,441380,Y,0.0,18.0,Mostly Positive,"13 Sep, 2016",(564 reviews),BANDAI NAMCO Entertainment,"['Casual', 'Arcade', 'Retro', 'Classic', 'Great Soundtrack', 'Singleplayer', 'Difficult', 'Fast-Paced', 'Score Attack', 'Action']"
Paladins,444090,Y,17.0,58.0,Very Positive,"8 May, 2018","345,423",Hi-Rez Studios,"['Hero Shooter', 'Free to Play', 'Multiplayer', 'FPS', 'Shooter', 'Action', 'Team-Based', 'First-Person', 'PvP', 'MOBA', 'Online Co-Op', 'Fantasy', 'Controller', 'Strategy', 'Co-op', 'Character Customization', 'Massively Multiplayer', 'Colorful', 'Adventure', 'Funny']"
Paper Fire Rookie,698790,Y,0.0,18.0,Positive,"19 Sep, 2018",(30 reviews),Ultimerse,"['VR', 'Action', 'Adventure', 'Casual', 'Simulation', 'Indie', 'Funny', 'Comedy', 'Cartoon', 'First-Person', 'Colorful', '6DOF', 'Family Friendly', 'Arcade', 'Singleplayer', '3D', 'Satire', ""Shoot 'Em Up""]"
Party Hard,356570,Y,0.0,27.0,Very Positive,"25 Aug, 2015","9,659",tinyBuild,"['Pixel Graphics', 'Stealth', 'Strategy', 'Violent', 'Indie', 'Villain Protagonist', 'Action', 'Gore', 'Great Soundtrack', 'Singleplayer', 'Dark Humor', '2D', 'Crime', 'Retro', 'Difficult', 'Top-Down', 'Funny', 'Horror', 'Story Rich', 'Comedy']"
Pikuniku,572890,Y,0.0,14.0,Overwhelmingly Positive,"24 Jan, 2019","9,841",Devolver Digital,"['Indie', 'Casual', 'Adventure', 'Puzzle', 'Multiplayer', 'Cute', 'Co-op', 'Funny', 'Action', '2D', 'Platformer', 'Family Friendly', 'Local Co-Op', 'Great Soundtrack', 'Comedy', 'Colorful', 'Puzzle Platformer', 'Singleplayer', 'Dystopian', 'Exploration']"
Planet Coaster,493340,Y,0.0,32.0,Very Positive,"17 Nov, 2016","59,280",Frontier Developments,"['Simulation', 'Building', 'Management', 'Sandbox', 'Family Friendly', 'Relaxing', 'Strategy', 'Singleplayer', 'Economy', 'Realistic', 'Funny', 'Great Soundtrack', 'Atmospheric', 'Colorful', 'Third Person', 'City Builder', 'Casual', 'Multiplayer', '3D', 'God Game']"
Poly Bridge,367450,Y,0.0,22.0,Very Positive,"12 Jul, 2016","16,791",Dry Cactus,"['Building', 'Physics', 'Simulation', 'Puzzle', 'Singleplayer', 'Sandbox', 'Difficult', 'Indie', 'Family Friendly', 'Funny', 'Level Editor', 'Education', 'Great Soundtrack', 'Crafting', 'Cartoon', 'Colorful', 'Cute', 'Stylized', 'Strategy', 'Choices Matter']"
Portal,400,Y,0.0,15.0,Overwhelmingly Positive,"10 Oct, 2007","171,312",Valve,"['Puzzle', 'Puzzle Platformer', 'First-Person', '3D Platformer', 'Singleplayer', 'Sci-fi', 'Comedy', 'Female Protagonist', 'Physics', 'Funny', 'Action', 'Classic', 'Story Rich', 'Platformer', 'Science', 'Atmospheric', 'Dark Humor', 'Short', 'FPS', 'Adventure']"
Portal 2,620,Y,0.0,51.0,Overwhelmingly Positive,"18 Apr, 2011","387,087",Valve,"['Singleplayer', 'Platformer', 'Puzzle', 'First-Person', 'Dark Humor', 'Story Rich', 'Puzzle Platformer', 'Funny', 'Female Protagonist', '3D Platformer', 'Action-Adventure', 'Co-op', 'Action', 'FPS', 'Physics', 'Sci-fi', 'Level Editor', 'Science', 'Comedy', 'Atmospheric']"
Psychonauts,3830,Y,0.0,37.0,Overwhelmingly Positive,"19 Apr, 2005","12,128",Double Fine Productions,"['Platformer', 'Comedy', 'Adventure', 'Singleplayer', 'Action', 'Funny', '3D Platformer', 'Third Person', 'Classic', 'Story Rich', 'Psychological', 'Great Soundtrack', 'Surreal', 'Cartoony', 'Collectathon', 'Exploration', 'Action-Adventure', '3D', 'Indie', 'Psychedelic']"
Pyre,462770,Y,0.0,51.0,Very Positive,"25 Jul, 2017","8,370",Supergiant Games,"['Indie', 'RPG', 'Great Soundtrack', 'Story Rich', 'Action', 'Visual Novel', 'Atmospheric', 'Fantasy', 'Hand-drawn', 'Choices Matter', 'Singleplayer', 'Colorful', 'Adventure', 'Party-Based RPG', 'Local Multiplayer', 'Lore-Rich', 'Multiple Endings', 'Interactive Fiction', 'Stylized', 'Music']"
Quest of Dungeons,270050,Y,0.0,25.0,Mostly Positive,"25 Mar, 2014",(478 reviews),David Amador,"['Traditional Roguelike', 'Turn-Based Tactics', 'Dungeon Crawler', 'Casual', 'Exploration', 'Perma Death', 'Difficult', 'Turn-Based', 'Survival', 'Roguelike', 'RPG', '2D', 'Top-Down', 'Funny', 'Procedural Generation', 'Pixel Graphics', 'Assassins', 'Fantasy', 'Class-Based', 'Adventure']"
Quiplash,351510,Y,0.0,10.0,Very Positive,"30 Jun, 2015",(992 reviews),"Jackbox Games, Inc.","['Casual', 'Multiplayer', 'Comedy', 'Indie', 'Strategy', 'Co-op', 'Local Multiplayer', 'Party Game', 'Family Friendly', 'Party', 'Funny', 'Board Game', 'Trivia']"
Rebuild 3: Gangs of Deadsville,257170,Y,0.0,42.0,Very Positive,"29 May, 2015","(1,479 reviews)",Northway Games,"['Colony Sim', 'Survival', '4X', 'Strategy', 'Post-apocalyptic', 'RPG', 'City Builder', 'Zombies', 'Choices Matter', 'Turn-Based Strategy', 'Base Building', 'Building', 'Sandbox', 'Management', 'Simulation', 'Story Rich', 'Outbreak Sim', 'Survival Horror', '2D', 'Real-Time with Pause']"
The Red Strings Club,589780,Y,0.0,19.0,Very Positive,"22 Jan, 2018","12,626",Devolver Digital,"['Cyberpunk', 'Pixel Graphics', 'Story Rich', 'Choices Matter', 'Great Soundtrack', 'Atmospheric', 'Indie', 'Adventure', 'LGBTQ+', 'Point & Click', 'Singleplayer', 'Visual Novel', 'Sci-fi', '2D', 'Nudity', 'Dystopian', 'Philosophical', 'Violent', 'Puzzle', 'Retro']"
Regular Human Basketball,661940,Y,0.0,20.0,Very Positive,"1 Aug, 2018",(221 reviews),Powerhoof,"['Mechs', 'Basketball', 'Funny', 'Party Game', 'Local Multiplayer', 'Multiplayer', 'Sports', 'Comedy', 'Indie', 'Local Co-Op', 'Online Co-Op', '4 Player Local', 'Competitive', 'Transhumanism', 'Controller', 'Action', 'Platformer', '2D Platformer', 'Split Screen', '2D']"
Resident Evil,304240,Y,0.0,44.0,Very Positive,"19 Jan, 2015","26,634","CAPCOM Co., Ltd.","['Survival Horror', 'Zombies', 'Horror', 'Classic', 'Remake', 'Atmospheric', 'Singleplayer', 'Puzzle', 'Survival', 'Adventure', 'Third Person', 'Action', 'Female Protagonist', 'Story Rich', 'Difficult', 'Gore', 'Shooter', 'Great Soundtrack', 'Third-Person Shooter', 'Co-op']"
Resident Evil 0,339340,Y,0.0,47.0,Mostly Positive,"19 Jan, 2016","13,962","CAPCOM Co., Ltd.","['Horror', 'Zombies', 'Survival Horror', 'Adventure', 'Classic', 'Action', 'Singleplayer', 'Remake', 'Third Person', 'Atmospheric', 'Survival', 'Female Protagonist', 'Puzzle', 'Story Rich', 'Difficult', 'Gore', 'Third-Person Shooter', 'Multiplayer', 'Great Soundtrack', 'Shooter']"
Resident Evil Revelations,222480,Y,0.0,50.0,Mostly Positive,"20 May, 2013","11,407",Capcom,"['Horror', 'Action', 'Zombies', 'Survival Horror', 'Third-Person Shooter', 'Adventure', 'Co-op', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Online Co-Op', 'Multiplayer', 'Survival', 'Atmospheric', 'Shooter', 'Gore', 'Sci-fi', 'Great Soundtrack', 'Story Rich', 'Controller']"
Resident Evil Revelations 2,287290,Y,0.0,43.0,Mostly Positive,"24 Feb, 2015","25,146","CAPCOM Co., Ltd.","['Zombies', 'Horror', 'Multiplayer', 'Survival Horror', 'Action', 'Co-op', 'Adventure', 'Third-Person Shooter', 'Survival', 'Female Protagonist', 'Singleplayer', 'Local Co-Op', 'Gore', 'Third Person', 'Episodic', 'Atmospheric', 'Online Co-Op', 'Story Rich', 'Shooter', 'Action RPG']"
Reventure,900270,Y,0.0,101.0,Very Positive,"4 Jun, 2019","8,427",Pixelatto,"['Adventure', 'Indie', 'Pixel Graphics', 'Multiple Endings', 'Comedy', '2D', 'Platformer', 'Singleplayer', 'Dark Humor', 'Exploration', 'Choose Your Own Adventure', 'Nonlinear', 'Retro', 'Metroidvania', 'Violent', 'Puzzle Platformer', 'Choices Matter', 'Dark Comedy', 'Great Soundtrack', 'Mystery Dungeon']"
Rise of Industry,671440,Y,0.0,27.0,Mostly Positive,"2 May, 2019","3,114",Kasedo Games,"['Management', 'Strategy', 'Economy', 'Simulation', 'City Builder', 'Resource Management', 'Indie', 'Base Building', 'Trading', 'Building', 'Singleplayer', 'Sandbox', 'Automation', 'Isometric', 'Capitalism', 'RTS', 'Transportation', 'Level Editor', 'Trains', 'Farming']"
Rising Dusk,848930,Y,0.0,20.0,Positive,"26 Jul, 2018",(44 reviews),Studio Stobie,"['Indie', 'Platformer', 'Puzzle Platformer', 'Female Protagonist', 'Pixel Graphics', 'Cute']"
Risk of Rain 2,632360,Y,0.0,171.0,Overwhelmingly Positive,"11 Aug, 2020","238,141",Gearbox Publishing,"['Third-Person Shooter', 'Action Roguelike', 'Multiplayer', 'Co-op', 'Roguelite', 'Roguelike', 'Action', 'Looter Shooter', 'Loot', 'Online Co-Op', 'Shooter', 'Great Soundtrack', 'Difficult', 'Indie', 'Third Person', 'Survival', 'Singleplayer', 'Soundtrack', 'Early Access', 'Bullet Hell']"
RONIN,274230,Y,0.0,8.0,Mostly Positive,"30 Jun, 2015","(1,599 reviews)",Devolver Digital,"['Indie', 'Action', 'Ninja', 'Turn-Based', 'Platformer', 'Stealth', '2D', 'Female Protagonist', 'Turn-Based Combat', 'Turn-Based Tactics', 'Singleplayer', 'Difficult', 'Cyberpunk', 'Great Soundtrack', 'Puzzle', 'Pixel Graphics']"
RPG Maker XP,235900,N,,,Very Positive,"16 Sep, 2005","(1,171 reviews)",Gotcha Gotcha Games,"['Game Development', 'RPG', 'Design & Illustration', 'Software', 'Anime', 'JRPG', 'Education', 'Utilities']"
Sakura Beach 2,407980,N,,,Mostly Positive,"6 Nov, 2015",(252 reviews),Winged Cloud,"['Nudity', 'Anime', 'Visual Novel', 'Indie', 'Casual', 'Sexual Content', 'Dating Sim', 'Singleplayer', 'Hentai']"
Sakura Fantasy Chapter 1,375200,N,,,Very Positive,"29 May, 2015",(705 reviews),Winged Cloud,"['Nudity', 'Anime', 'Visual Novel', 'Female Protagonist', 'Indie', 'Fantasy', 'Sexual Content', 'Casual', 'Cute', 'Hentai', 'Singleplayer', 'LGBTQ+', 'Romance', 'Story Rich']"
Salt,327860,Y,0.0,29.0,Mostly Positive,"6 Feb, 2018","(1,954 reviews)",Lavaboots Studios,"['Open World Survival Craft', 'Open World', 'Survival', 'Adventure', 'Crafting', 'Exploration', 'Pirates', 'Multiplayer', 'Sandbox', 'First-Person', 'Singleplayer', 'Indie', 'RPG', 'Action', 'Sailing', 'Naval', 'Procedural Generation', 'Early Access', 'Atmospheric', 'Walking Simulator']"
Satellite Reign,268870,Y,0.0,40.0,Mostly Positive,"28 Aug, 2015","2,598",5 Lives Studios,"['Cyberpunk', 'Strategy', 'Action', 'Sci-fi', 'Indie', 'Tactical', 'Real-Time', 'Stealth', 'Open World', 'Co-op', 'Isometric', 'Top-Down', 'Class-Based', 'Singleplayer', 'RPG', 'RTS', 'Multiplayer', 'Atmospheric', 'Great Soundtrack', 'Real Time Tactics']"
Sekiro™: Shadows Die Twice,814380,Y,16.0,34.0,Very Positive,"21 Mar, 2019","256,300",Activision (Excluding Japan and Asia),"['Souls-like', 'Difficult', 'Action', 'Singleplayer', 'Ninja', 'Stealth', 'Adventure', 'Third Person', 'Open World', 'Story Rich', 'Assassins', 'Violent', 'Atmospheric', 'Hack and Slash', 'Dark Fantasy', 'RPG', 'Gore', 'Great Soundtrack', 'Rhythm', 'Dark']"
Sengoku,73210,N,,,Mixed,"15 Sep, 2011",(378 reviews),Paradox Interactive,"['Strategy', 'Simulation', 'Grand Strategy', 'Historical', 'RPG', 'Medieval', 'Real-Time with Pause', 'Multiplayer', 'Singleplayer', 'Samurai']"
Shovel Knight: Specter of Torment,589510,Y,1.0,20.0,Very Positive,"5 Apr, 2017",(450 reviews),Yacht Club Games,"['Action', 'Indie', 'Adventure', 'Platformer', 'Pixel Graphics', '2D', 'Retro', 'Singleplayer', 'Great Soundtrack', 'Side Scroller', 'Metroidvania', 'Difficult']"
Silent Hill: Homecoming,19000,N,,,Mixed,"2 Mar, 2009","2,592",KONAMI,"['Horror', 'Adventure', 'Survival Horror', 'Psychological Horror', 'Gore', 'Third Person', 'Story Rich', 'Atmospheric', 'Violent', 'Singleplayer', 'Great Soundtrack', 'Dark', 'Survival', 'Action', 'Multiplayer', 'Third-Person Shooter', 'Lovecraftian', 'Controller', 'RPG', 'Puzzle']"
Slay the Spire,646570,Y,38.0,46.0,Overwhelmingly Positive,"23 Jan, 2019","189,528",Mega Crit,"['Roguelike Deckbuilder', 'Card Game', 'Card Battler', 'Roguelike', 'Deckbuilding', 'Turn-Based', 'Strategy', 'Singleplayer', 'Roguelite', 'Replay Value', 'Indie', 'Difficult', 'Dungeon Crawler', 'Mouse Only', 'RPG', '2D', 'Fantasy', 'Procedural Generation', 'Great Soundtrack', 'Casual']"
Slay the Spire 2,2868840,N,,,Very Positive,"5 Mar, 2026","172,980",Mega Crit,"['Roguelike', 'Card Game', 'Deckbuilding', 'Co-op', 'Strategy', 'Roguelike Deckbuilder', 'Political', 'Multiplayer', 'Turn-Based Combat', 'Card Battler', 'Indie', 'Difficult', 'Roguelite', 'Early Access', '2D', 'Singleplayer', 'Replay Value', 'Dungeon Crawler', 'Fantasy', 'Procedural Generation']"
Sniper Elite 3,238090,Y,0.0,77.0,Mostly Positive,"27 Jun, 2014","21,302",Rebellion,"['Sniper', 'Action', 'Stealth', 'Multiplayer', 'World War II', 'Co-op', 'Shooter', 'Adventure', 'Third-Person Shooter', 'Singleplayer', 'Tactical', 'War', 'Third Person', 'Gore', 'Online Co-Op', 'Open World', 'FPS', 'Strategy', 'Atmospheric', 'Simulation']"
SpaceChem,92800,Y,0.0,20.0,Overwhelmingly Positive,"2 Mar, 2011","2,617",Zachtronics,"['Puzzle', 'Difficult', 'Programming', 'Indie', 'Logic', 'Singleplayer', 'Automation', 'Sci-fi', 'Great Soundtrack', 'Science', '2D', 'Space', 'Simulation', 'Casual', 'Education', 'Addictive', 'Strategy', 'Touch-Friendly', 'Building']"
Speed Brawl,468670,Y,0.0,59.0,Mostly Positive,"18 Sep, 2018",(81 reviews),Double Stallion,"['Co-op', 'Female Protagonist', 'Online Co-Op', 'Spectacle fighter', 'Co-op Campaign', 'Local Co-Op', 'Fast-Paced', ""Beat 'em up"", 'Side Scroller', 'Local Multiplayer', 'Character Customization', 'Anime', 'Indie', 'Combat', 'Steampunk', 'Multiplayer', 'Fighting', '2D Platformer', 'Action', 'Singleplayer']"
Splitgate,677620,Y,2.0,30.0,Very Positive,"24 May, 2019","110,655",1047 Games,"['Free to Play', 'FPS', 'Multiplayer', 'Arena Shooter', 'Shooter', 'Action', 'Fast-Paced', 'PvP', 'First-Person', 'Competitive', 'Sci-fi', 'Indie', 'Team-Based', 'eSports', 'Tactical', 'Strategy', 'Online Co-Op', 'Physics', 'Co-op', 'Violent']"
Stealth Inc 2,329380,Y,0.0,12.0,Mostly Positive,"30 Apr, 2015",(122 reviews),Curve Games,"['Indie', 'Action', 'Stealth', 'Platformer', 'Adventure', 'Puzzle', 'Puzzle Platformer', 'Singleplayer', 'Metroidvania', '2D', 'Side Scroller']"
Stellaris,281990,Y,0.0,219.0,Very Positive,"9 May, 2016","138,751",Paradox Interactive,"['Space', 'Strategy', 'Grand Strategy', 'Sci-fi', '4X', 'Exploration', 'Sandbox', 'Simulation', 'Multiplayer', 'Real-Time with Pause', 'Singleplayer', 'Moddable', 'Management', 'Diplomacy', 'Military', 'Futuristic', 'Replay Value', 'Great Soundtrack', 'Procedural Generation', 'Atmospheric']"
Stick Fight: The Game,674940,Y,0.0,28.0,Very Positive,"28 Sep, 2017","99,724",Landfall,"['Multiplayer', 'Funny', 'Fighting', 'Local Multiplayer', 'Action', '2D Fighter', '4 Player Local', 'PvP', '2D', 'Physics', 'Casual', 'Online Co-Op', 'Local Co-Op', 'Indie', 'Shooter', 'Controller', 'Co-op', 'Split Screen', 'Great Soundtrack', 'Strategy']"
The Stillness of the Wind,828900,N,,,Mostly Positive,"7 Feb, 2019","(1,351 reviews)",Fellow Traveller,"['Indie', 'Adventure', 'Atmospheric', 'Story Rich', 'Female Protagonist', 'Agriculture', 'Singleplayer', 'Beautiful', 'Point & Click', 'Simulation', 'Emotional', 'Casual', 'Psychological', 'Exploration', 'Great Soundtrack', 'Dystopian', 'Farming', 'Cozy', 'Psychological Horror']"
Stonemachia,2982610,Y,8.0,30.0,Overwhelmingly Positive,"26 May, 2026","(1,004 reviews)",Crossfall Games,"['Souls-like', 'Hack and Slash', 'Atmospheric', 'Spectacle fighter', 'God Game', 'Mythology', 'Surreal', 'Medieval', 'Dark', 'Swordplay', '3D', 'Fantasy', 'Controller', 'Mystery Dungeon', 'Hidden Object', 'Action', 'Exploration', 'Adventure', 'Action-Adventure', 'Singleplayer']"
Stories: The Path of Destinies,439190,Y,0.0,37.0,Very Positive,"12 Apr, 2016","(1,932 reviews)",Spearhead Games,"['Adventure', 'RPG', 'Action', 'Choices Matter', 'Indie', 'Fantasy', 'Dynamic Narration', 'Hack and Slash', 'Multiple Endings', 'Action RPG', 'Singleplayer', 'Colorful', 'Swordplay', 'Great Soundtrack', 'Story Rich', 'Isometric', 'Funny', 'Foxes', 'Action-Adventure', 'Comedy']"
Street Fighter 30th Anniversary Collection,586200,Y,0.0,17.0,Mixed,"29 May, 2018","2,276","Capcom U.S.A, Inc.","['Fighting', '2D Fighter', 'Action', 'Arcade', 'Classic', 'Multiplayer', 'Retro', '2D', 'Local Multiplayer', 'Anime', 'Singleplayer', 'Pixel Graphics', 'Nudity', ""1990's"", '1980s', 'Horror']"
Strider,235210,Y,0.0,30.0,Very Positive,"19 Feb, 2014","2,157",Capcom,"['Platformer', 'Metroidvania', 'Action', 'Ninja', 'Side Scroller', 'Hack and Slash', 'Reboot', '2.5D', 'Arcade', 'Adventure', 'Retro', 'Classic', 'Remake', 'Singleplayer', 'Fast-Paced', 'Sci-fi', 'Controller', '2D', 'Anime', 'Cyberpunk']"
The Suicide of Rachel Foster,1057750,Y,0.0,11.0,Mixed,"19 Feb, 2020","5,270",Daedalic Entertainment,"['Walking Simulator', 'Mystery', 'Atmospheric', 'Adventure', 'Thriller', 'Exploration', 'Story Rich', 'Dark', 'Female Protagonist', 'Singleplayer', 'First-Person', 'Short', 'Psychological', 'Open World', 'Realistic', ""1990's"", 'Casual', 'Indie', 'Horror', 'Great Soundtrack']"
Super Hexagon,221640,Y,0.0,6.0,Overwhelmingly Positive,"27 Nov, 2012","18,307",Terry Cavanagh,"['Difficult', 'Great Soundtrack', 'Indie', 'Fast-Paced', 'Arcade', 'Addictive', 'Rhythm', 'Singleplayer', 'Minimalist', 'Action', 'Score Attack', 'Music', '2D', 'Psychedelic', 'Colorful', 'Casual', 'Replay Value', 'Controller', 'Puzzle', 'Soundtrack']"
Super Time Force Ultra,250700,Y,0.0,33.0,Very Positive,"25 Aug, 2014",(678 reviews),Capybara Games,"['Side Scroller', 'Time Manipulation', 'Bullet Hell', '2D Platformer', 'Pixel Graphics', ""Shoot 'Em Up"", 'Puzzle Platformer', 'PvE', 'Difficult', 'Platformer', 'Shooter', 'Arcade', 'Action-Adventure', 'Strategy', '2D', 'Funny', 'Puzzle', 'Dinosaurs', 'Parody', 'Retro']"
SUPERHOT,322500,Y,0.0,26.0,Very Positive,"25 Feb, 2016","27,612",SUPERHOT Team,"['Action', 'FPS', 'Bullet Time', 'Time Manipulation', 'Indie', 'Singleplayer', 'First-Person', 'Shooter', 'Puzzle', 'Minimalist', 'Short', 'Difficult', 'Cyberpunk', 'Fast-Paced', 'Violent', 'Sci-fi', 'Casual', 'Gore', 'Adventure', 'Story Rich']"
SUPERHOT: MIND CONTROL DELETE,690040,Y,0.0,14.0,Very Positive,"16 Jul, 2020","9,193",SUPERHOT Team,"['FPS', 'Time Manipulation', 'Bullet Time', 'Action Roguelike', 'Shooter', 'Action', 'Difficult', 'Experimental', 'Minimalist', 'First-Person', 'Puzzle', 'Stylized', 'Dystopian', 'Atmospheric', 'Cyberpunk', 'Beautiful', 'Singleplayer', 'Transhumanism', 'Cinematic', 'Old School']"
Sven Co-op,225840,N,,,Very Positive,"19 Jan, 1999","32,361",Sven Co-op team,"['Co-op', 'FPS', 'Online Co-Op', 'Shooter', ""1990's"", ""Shoot 'Em Up"", 'Retro', 'Team-Based', 'Casual', 'Free to Play', 'PvE', 'First-Person', '3D', 'Third Person', 'Action', 'Dialogue Heavy', 'Puzzle', 'Survival', 'Moddable', 'Multiplayer']"
The Swindle,369110,Y,0.0,15.0,Mixed,"28 Jul, 2015",(501 reviews),Size Five Games,"['Crime', 'Indie', 'Action', 'Stealth', 'Heist', 'Steampunk', 'RPG', 'Platformer', 'Action Roguelike', '2D', 'Roguelike', 'Procedural Generation', 'Roguelite', 'Great Soundtrack', 'Cyberpunk']"
Terraria,105600,Y,114.0,137.0,Overwhelmingly Positive,"16 May, 2011","1,224,771",Re-Logic,"['Open World Survival Craft', 'Sandbox', 'Survival', '2D', 'Multiplayer', 'Pixel Graphics', 'Adventure', 'Crafting', 'Building', 'Exploration', 'Co-op', 'Open World', 'Indie', 'Online Co-Op', 'Action', 'RPG', 'Singleplayer', 'Replay Value', 'Platformer', 'Atmospheric']"
Territory Idle,1017100,Y,6.0,100.0,Mostly Positive,"10 Sep, 2019","(1,709 reviews)",Aleksandr Golovkin,"['Incremental', 'Idler', 'Free to Play', 'Strategy', 'Indie', 'Singleplayer', 'Retro', 'Pixel Graphics', 'Early Access', '2D']"
Thief,239160,Y,0.0,37.0,Mixed,"27 Feb, 2014","17,285",Eidos Interactive Corp.,"['Stealth', 'Action', 'First-Person', 'Adventure', 'Singleplayer', 'Dark', 'Reboot', 'Steampunk', 'Atmospheric', 'Horror', 'Parkour', 'Assassins', 'Open World', 'Heist', 'Medieval', 'Nudity', 'RPG', 'Fantasy', 'FPS', 'Remake']"
Think of the Children,573600,Y,0.0,27.0,Mixed,"19 Oct, 2017",(104 reviews),Surprise Attack,"['Action', '4 Player Local', 'Co-op', 'Local Co-Op', 'Multiplayer', 'Local Multiplayer', 'Funny', 'Indie', 'Adventure', 'Fast-Paced', 'Difficult']"
This Is the Police,443810,Y,0.0,10.0,Mostly Positive,"2 Aug, 2016","9,083",THQ Nordic,"['Strategy', 'Management', 'Story Rich', 'Crime', 'Choices Matter', 'Singleplayer', 'Indie', 'Simulation', 'Detective', 'Noir', 'Atmospheric', 'Adventure', 'Great Soundtrack', 'Political', 'Villain Protagonist', 'Visual Novel', 'Memes', 'Nudity', 'Sexual Content', 'Politics']"
This Is the Police 2,785740,Y,0.0,12.0,Mixed,"31 Jul, 2018","5,297",THQ Nordic,"['Strategy', 'Story Rich', 'Singleplayer', 'Turn-Based', 'Management', 'Indie', 'Adventure', 'Villain Protagonist', 'Crime', 'Choices Matter', 'Atmospheric', 'Simulation', 'Great Soundtrack', 'Turn-Based Strategy', 'Turn-Based Tactics', 'Detective', 'Noir', 'Tactical', 'Turn-Based Combat']"
Tilt Brush,327140,N,,,Very Positive,"5 Apr, 2016","(1,206 reviews)",Google,"['Design & Illustration', 'VR', 'Free to Play', 'Hand-drawn', 'Casual', 'Singleplayer']"
tModLoader,1281930,N,,,Overwhelmingly Positive,"16 May, 2020","374,109",Re-Logic,"['Adventure', 'Free to Play', 'Action', 'Indie', 'RPG', 'Mod', 'Sandbox', 'Moddable', 'Multiplayer', '2D', 'Pixel Graphics', 'Building', 'Survival', 'Online Co-Op', 'Singleplayer', 'Great Soundtrack', 'Replay Value', 'Co-op', 'Difficult', 'Open World Survival Craft']"
Tom Clancy's Rainbow Six Siege,359550,Y,0.0,48.0,Very Positive,"1 Dec, 2015","1,530,738",Ubisoft,"['FPS', 'PvP', 'Multiplayer', 'Shooter', 'Tactical', 'eSports', 'Competitive', 'Online Co-Op', 'Action', 'Hero Shooter', 'Team-Based', 'Military', 'Strategy', 'First-Person', 'Co-op', 'Realistic', 'Destruction', 'War', 'Difficult', '3D']"
