Title,Steam_id,has_achievements,completed_achievements,total_achievements,English_rating,Date_published,Total_number_of_reviews,Publisher,keys,count_main,time_main,count_complete,time_complete,Genres
death's gambit afterlife,356650,Y,0,43,Very Positive,2018-08-13,4235,Serenity Forge,56.0,38,857,10,2541,"['Souls-like', 'Metroidvania', 'Pixel Graphics', 'RPG', 'Dark Fantasy', 'Action', '2D', 'Indie', 'Adventure', 'Platformer', 'Difficult', 'Action RPG', 'Singleplayer', 'Side Scroller', 'Atmospheric', 'Great Soundtrack', 'Fantasy', 'Story Rich', 'Controller', 'Replay Value']"
the deed dynasty,460960,Y,0,53,Very Positive,2016-05-10,529,GrabTheGames,211.0,3,310,10,863,"['Adventure', 'Crime', 'Indie', 'Story Rich', 'Atmospheric', 'Choices Matter', 'RPG', 'Singleplayer', 'Detective', 'Puzzle', 'Choose Your Own Adventure', 'Visual Novel', 'Mystery', 'Family Friendly', 'Sexual Content', 'Historical', '2D', 'Simulation', 'Surreal', 'Difficult']"
deep rock galactic,548430,Y,8,69,Overwhelmingly Positive,2020-05-13,301480,Coffee Stain Publishing,57.0,89,2947,30,31147,"['Dwarves', 'Co-op', 'PvE', 'FPS', 'Procedural Generation', 'Class-Based', 'Shooter', 'Exploration', 'First-Person', 'Loot', 'Sci-fi', 'Action', 'Space', 'Atmospheric', 'Looter Shooter', 'Combat', 'Survival', 'Horror', 'Dark', 'Action Roguelike']"
despotism 3k,699920,Y,0,30,Mostly Positive,2018-11-08,1017,Konfa Games,58.0,14,217,3,3674,"['Strategy', 'Indie', 'Dark Humor', 'Difficult', 'Pixel Graphics', '2D', 'Simulation', 'Sexual Content', 'Singleplayer', 'Replay Value', 'Perma Death', 'Roguelite', 'Roguelike', 'Resource Management', 'Violent', 'Post-apocalyptic', 'Villain Protagonist', 'Management', 'Cyberpunk', 'Great Soundtrack']"
deus ex game of the year edition,6910,N,,,Overwhelmingly Positive,2000-06-22,13599,Eidos Interactive Corp.,,,,,,"['Cyberpunk', 'RPG', 'Stealth', 'Immersive Sim', 'Classic', 'FPS', 'Sci-fi', 'Action', 'Singleplayer', 'Dystopian', 'Story Rich', 'Great Soundtrack', 'Inventory Management', 'First-Person', 'Conspiracy', 'Atmospheric', 'Moddable', 'Action RPG', 'Shooter', 'Adventure']"
deus ex invisible war,6920,N,,,Mixed,2004-03-05,2178,Eidos Interactive Corp.,61.0,82,544,53,1217,"['Cyberpunk', 'Action', 'FPS', 'RPG', 'Sci-fi', 'Stealth', 'Immersive Sim', 'Singleplayer', 'Transhumanism', 'First-Person', 'Dystopian', 'Female Protagonist', 'Shooter', 'Story Rich', 'Atmospheric', 'Classic', 'Conspiracy', 'Action RPG', 'Adventure', 'Great Soundtrack']"
deus ex human revolution director's cut,238010,Y,0,59,Very Positive,2013-10-25,25166,Eidos Interactive Corp.,60.0,350,1413,258,2900,"['Cyberpunk', 'Stealth', 'RPG', 'Sci-fi', 'FPS', 'Action', 'Singleplayer', 'Story Rich', 'Great Soundtrack', 'Transhumanism', 'Dystopian', 'First-Person', 'Atmospheric', 'Immersive Sim', 'Adventure', 'Inventory Management', 'Immersive', 'Shooter', 'Futuristic', 'Replay Value']"
deus ex the fall,258180,Y,0,28,Mostly Negative,2014-03-18,3741,Eidos Interactive Corp.,63.0,75,258,62,488,"['Cyberpunk', 'RPG', 'Action', 'Stealth', 'Sci-fi', 'Singleplayer', 'Adventure', 'First-Person', 'FPS', 'Episodic', 'Shooter', 'Dystopian', 'Transhumanism', 'Short', 'Atmospheric', 'Futuristic', 'Great Soundtrack', 'Action RPG', 'Story Rich', 'Immersive Sim']"
deus ex mankind divided ,337000,Y,0,81,Mostly Positive,2016-08-23,30524,Eidos Interactive Corp.,,,,,,"['Cyberpunk', 'Stealth', 'RPG', 'Sci-fi', 'Story Rich', 'Action', 'Atmospheric', 'Singleplayer', 'Immersive Sim', 'Futuristic', 'First-Person', 'FPS', 'Great Soundtrack', 'Open World', 'Shooter', 'Conspiracy', 'Dystopian', 'Transhumanism', 'Adventure', 'Third Person']"
devil may cry 4 special edition,329050,Y,0,42,Very Positive,2015-06-23,16448,"CAPCOM Co., Ltd.",64.0,543,665,21,4266,"['Action', 'Hack and Slash', 'Character Action Game', 'Great Soundtrack', 'Singleplayer', 'Spectacle fighter', 'Third Person', 'Stylized', 'Difficult', 'Classic', 'Story Rich', 'Anime', 'Adventure', 'Atmospheric', ""Beat 'em up"", 'Replay Value', 'Controller', 'Female Protagonist', 'Remake', 'Demons']"
devil may cry 5,601150,Y,0,55,Overwhelmingly Positive,2019-03-07,116538,"CAPCOM Co., Ltd.",65.0,1900,677,75,4868,"['Action', 'Hack and Slash', 'Great Soundtrack', 'Character Action Game', 'Demons', 'Spectacle fighter', 'Third Person', 'Singleplayer', 'Sexual Content', 'Nudity', 'Violent', 'Story Rich', 'Stylized', 'Difficult', 'Gore', 'Multiplayer', 'Classic', 'Controller', 'Adventure', 'Anime']"
devil may cry hd collection,631510,Y,0,99,Very Positive,2018-03-13,18353,"CAPCOM Co., Ltd.",66.0,192,1409,27,5277,"['Hack and Slash', 'Action', 'Great Soundtrack', 'Character Action Game', 'Difficult', 'Classic', 'Spectacle fighter', 'Demons', 'Singleplayer', 'Stylized', 'Violent', 'Third Person', 'Gothic', 'Gore', 'Atmospheric', 'Story Rich', 'Fast-Paced', 'Adventure', ""Beat 'em up"", 'Anime']"
dig or die,315460,Y,0,18,Very Positive,2018-07-10,3852,Gaddy Games,67.0,9,831,1,2134,"['Survival', 'Open World Survival Craft', 'Sandbox', 'Crafting', '2D', 'Open World', 'Indie', 'Strategy', 'Action', 'Tower Defense', 'Multiplayer', 'Building', 'Base Building', 'Co-op', 'Physics', 'Pixel Graphics', 'RPG', 'Singleplayer', 'Adventure', 'Early Access']"
dishonored,205100,Y,0,80,Overwhelmingly Positive,2012-10-11,66262,Bethesda Softworks,68.0,2300,737,421,2427,"['Stealth', 'First-Person', 'Assassins', 'Action', 'Steampunk', 'Singleplayer', 'Atmospheric', 'Story Rich', 'Multiple Endings', 'Adventure', 'Dark', 'Magic', 'Dystopian', 'FPS', 'RPG', 'Immersive Sim', 'Replay Value', 'Fantasy', 'Open World', 'Shooter']"
dishonored 2,403640,Y,0,50,Very Positive,2016-11-11,42433,Bethesda Softworks,69.0,1000,777,349,2845,"['Stealth', 'First-Person', 'Assassins', 'Action', 'Singleplayer', 'Steampunk', 'Story Rich', 'Atmospheric', 'Female Protagonist', 'Magic', 'Parkour', 'Supernatural', 'Open World', 'Adventure', 'Immersive Sim', 'Exploration', 'Gore', 'Great Soundtrack', 'Heist', 'Dystopian']"
doki doki literature club,698780,N,,,Overwhelmingly Positive,2017-09-22,223734,Team Salvato,,,,,,"['Psychological Horror', 'Visual Novel', 'Anime', 'Free to Play', 'Dating Sim', 'Cute', 'Horror', 'Dark', 'Story Rich', 'Romance', 'Singleplayer', 'Great Soundtrack', 'Gore', 'Violent', 'Sexual Content', 'Indie', 'First-Person', 'Memes', 'Casual', 'Adventure']"
don't starve,219740,N,,,Overwhelmingly Positive,2013-04-23,96641,Klei Entertainment,70.0,45,1718,11,10930,"['Survival', 'Open World Survival Craft', 'Crafting', 'Adventure', 'Indie', 'Sandbox', 'Singleplayer', 'Perma Death', 'Multiplayer', 'Open World', 'Exploration', 'Roguelike', 'Replay Value', 'Moddable', 'Difficult', 'Simulation', '2D', 'Top-Down', 'Survival Horror', 'Horror']"
don't starve together,322330,N,,,Overwhelmingly Positive,2016-04-21,372459,Klei Entertainment,71.0,29,2055,9,12529,"['Survival', 'Open World Survival Craft', 'Multiplayer', 'Co-op', 'Open World', 'Adventure', 'Crafting', 'Online Co-Op', 'Sandbox', 'Difficult', 'Indie', '2D', 'Atmospheric', 'Survival Horror', 'Funny', 'Strategy', 'Horror', 'Singleplayer', 'Action', 'Roguelike']"
doom,379720,Y,0,54,Overwhelmingly Positive,2016-05-12,153518,Bethesda Softworks,72.0,3500,708,696,1754,"['FPS', 'Gore', 'Action', 'Shooter', 'Great Soundtrack', 'Demons', 'First-Person', 'Multiplayer', 'Fast-Paced', 'Singleplayer', 'Sci-fi', 'Horror', 'Atmospheric', 'Classic', 'Difficult', 'Remake', 'Zombies', 'Violent', 'Co-op', 'Boomer Shooter']"
